Date,Customer,Product,Quantity,Price,City
2023-05-23,Customer_3, MOUSE ,5.0,539.7,Phoenix
2023-09-09,Customer_3,Headphones,6.0,624.36,Chicago
2023-10-22,Customer_19, LAPTOP ,5.0,872.85,San Antonio
2023-07-28,Customer_16,Monitor,4.0,1042.1,
2023-07-14,Customer_9,Mouse,7.0,393.36,
2023-05-21,Customer_20,Keyboard,10.0,831.57,Chicago
2023-09-07,Customer_18,Laptop,10.0,121.26,philadelphia 
2023-05-12,Customer_12,Smartphone,10.0,918.73,Philadelphia
2023-05-15,Customer_17, MOUSE ,3.0,771.37,New York
24/11/2023,Customer_4,Laptop,5.0,382.44,los angeles 
2023-05-02,Customer_6,Headphones,8.0,,San Antonio
invalid_date,Customer_2,Laptop,10.0,663.15,philadelphia 
2023-11-25,Customer_20,Laptop,1.0,1184.46,Los Angeles
2023-03-20,Customer_16, LAPTOP ,2.0,1251.02,new york 
2023-04-03,Customer_6,Smartphone,2.0,922.05,houston 
2023-05-29,Customer_3,Mouse,4.0,1302.4,Houston
2023-12-18,Customer_2, MONITOR ,8.0,1252.6,Chicago
2023-03-05,Customer_10,Monitor,5.0,1007.0,Chicago
2023-02-13,Customer_16,Mouse,2.0,1467.42,Phoenix
2023-12-28,Customer_14, MONITOR ,1.0,185.57,Philadelphia
invalid_date,Customer_20,Keyboard,9.0,58.86,Philadelphia
2023-04-09,Customer_11,Laptop,9.0,1427.3,Philadelphia
2023-06-03,Customer_15,Tablet,2.0,33.79,
2023-02-21,Customer_15,Smartphone,5.0,,New York
2023-07-21,Customer_19,Monitor,1.0,144.24,
2023-07-30,Customer_2, TABLET ,8.0,1063.74,San Antonio
2023-05-23,Customer_16, SMARTPHONE ,9.0,215.82,Phoenix
2023-09-02,Customer_1,Tablet,5.0,1135.14,San Antonio
2023-08-14,Customer_3,Keyboard,5.0,367.05,Chicago
11/10/2023,Customer_1, KEYBOARD ,2.0,1028.93,Phoenix
2023-12-12,Customer_8,Headphones,1.0,936.93,Phoenix
2023-09-29,Customer_1, MONITOR ,6.0,743.14,New York
11/10/2023,Customer_1, KEYBOARD ,2.0,1028.93,Phoenix
2023-01-05,Customer_15,Tablet,9.0,253.8,Houston
2023-04-01,Customer_14,Laptop,3.0,1110.12,Chicago
2023-07-16,Customer_16,Laptop,4.0,584.42,Chicago
2023-11-28,Customer_3,Monitor,3.0,810.53,Los Angeles
2023-05-17,Customer_5,Laptop,1.0,265.57,Chicago
2023-02-21,Customer_7,Tablet,,554.1,Chicago
2023-08-07,Customer_18,Headphones,3.0,1120.61,Houston
2023-09-19,Customer_16,Mouse,3.0,995.1,Chicago
2023-07-30,Customer_15,Mouse,,1016.58,Philadelphia
2023-10-09,Customer_2, HEADPHONES ,2.0,485.49,Chicago
2023-11-12,Customer_19,Tablet,7.0,830.95,New York
2023-11-26,Customer_15,Smartphone,5.0,226.65,Philadelphia
invalid_date,Customer_14, HEADPHONES ,1.0,595.51,Philadelphia
2023-03-04,Customer_1,Keyboard,10.0,1202.98,philadelphia 
2023-03-02,Customer_5, HEADPHONES ,5.0,773.13,Chicago
2023-01-21,Customer_12, SMARTPHONE ,4.0,1007.06,Chicago
05/08/2023,Customer_18,Keyboard,8.0,,chicago 
2023-07-07,Customer_3,Mouse,7.0,40.6,Phoenix
2023-09-16,Customer_16,Tablet,1.0,,houston 
2023-10-30,Customer_11, MOUSE ,,1313.8,
2023-10-17,Customer_2,Tablet,,654.0,
2023-04-19,Customer_18, MOUSE ,4.0,1075.16,Houston
2023-12-06,Customer_4,Smartphone,5.0,190.83,New York
24/08/2023,Customer_18,Laptop,7.0,136.62,Chicago
2023-08-05,Customer_6,Tablet,8.0,389.71,new york 
2023-05-08,Customer_4,Headphones,3.0,1206.1,Philadelphia
2023-09-18,Customer_16,Laptop,1.0,1294.43,los angeles 
2023-12-04,Customer_5,Keyboard,,1357.04,
2023-01-29,Customer_8,Mouse,1.0,1211.47,Houston
2023-01-28,Customer_7,Monitor,6.0,941.5,Houston
2023-04-12,Customer_5,Laptop,1.0,382.37,Houston
2023-01-14,Customer_5,Laptop,6.0,,los angeles 
2023-06-01,Customer_11,Mouse,2.0,713.13,New York
2023-12-06,Customer_19,Tablet,8.0,839.14,Chicago
2023-07-05,Customer_15,Keyboard,3.0,664.52,Philadelphia
2023-03-11,Customer_3,Tablet,7.0,523.02,San Antonio
2023-11-30,Customer_2, MOUSE ,1.0,1425.43,Los Angeles
2023-07-24,Customer_8,Smartphone,1.0,1341.14,san antonio 
2023-05-25,Customer_15, LAPTOP ,4.0,1387.39,san antonio 
2023-02-13,Customer_16,Mouse,2.0,1467.42,Phoenix
2023-12-10,Customer_4,Headphones,6.0,1312.94,
2023-07-28,Customer_11, MONITOR ,8.0,635.35,Los Angeles
2023-09-09,Customer_3,Monitor,1.0,244.56,san antonio 
2023-07-12,Customer_13,Keyboard,4.0,132.47,Philadelphia
2023-04-30,Customer_11,Mouse,,1187.19,phoenix 
2023-09-09,Customer_4,Mouse,1.0,869.62,Houston
2023-09-07,Customer_18,Laptop,10.0,121.26,philadelphia 
2023-08-12,Customer_1,Monitor,9.0,1036.55,Philadelphia
2023-09-17,Customer_7,Smartphone,8.0,351.88,New York
2023-04-26,Customer_17,Headphones,8.0,1364.59,Chicago
2023-05-20,Customer_17, MONITOR ,,667.88,Phoenix
2023-05-01,Customer_12,Laptop,6.0,825.81,philadelphia 
2023-07-24,Customer_8,Smartphone,1.0,1341.14,san antonio 
2023-07-15,Customer_2,Mouse,8.0,349.2,San Antonio
2023-01-16,Customer_2, HEADPHONES ,7.0,650.88,
2023-09-16,Customer_20,Laptop,9.0,314.28,Philadelphia
2023-06-16,Customer_6, HEADPHONES ,4.0,545.14,Chicago
2023-01-21,Customer_20,Laptop,7.0,992.91,Phoenix
2023-08-05,Customer_11,Tablet,3.0,,
2023-02-05,Customer_8,Tablet,5.0,253.47,San Antonio
2023-10-04,Customer_14, MONITOR ,,1330.41,Philadelphia
2023-12-02,Customer_18,Keyboard,4.0,656.5,Los Angeles
